,city,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
351,awbari,0,LY,1582990585,17,26.59,12.78,75.81,9.44
352,banjar,40,ID,1582990585,94,-8.19,114.97,82.4,4.7
353,pemangkat,100,ID,1582990585,88,1.17,108.97,77.83,7.9
354,iqaluit,75,CA,1582990533,68,63.75,-68.51,-16.01,3.31
355,manokwari,98,ID,1582990585,84,-0.87,134.08,75.09,2.64
356,vao,100,NC,1582990586,85,-22.67,167.48,79.48,21.59
357,bunia,77,CD,1582990586,52,1.57,30.25,84.47,5.61
358,lashio,0,MM,1582990586,49,22.93,97.75,59.34,1.9
359,prieska,91,ZA,1582990445,25,-29.66,22.75,87.33,2.3
360,ibra,0,OM,1582990586,23,22.69,58.53,79.03,10.25
361,mancio lima,75,BR,1582990586,79,-7.61,-72.9,84.2,2.24
362,ponta delgada,40,PT,1582990586,82,37.73,-25.67,64.4,18.34
363,longyan,3,CN,1582990587,85,25.11,117.02,60.96,2.89
364,vaitape,100,PF,1582990587,80,-16.52,-151.75,80.67,12.24
365,camocim,75,BR,1582990587,94,-2.9,-40.84,82.4,3.36
366,semnan,0,IR,1582990448,51,35.57,53.4,53.87,1.83
367,yei,100,SS,1582990587,35,4.09,30.68,86.5,2.28
368,loubomo,100,CG,1582990587,91,-4.2,12.67,74.7,3.62
369,belmonte,40,BR,1582990587,70,-15.86,-38.88,87.8,9.17
370,kharp,100,RU,1582990588,96,66.8,65.81,9.66,5.12
371,colac,74,AU,1582990588,99,-38.33,143.58,61.0,1.61
372,turayf,40,SA,1582990588,51,31.67,38.66,62.6,9.17
373,nemuro,0,JP,1582990588,68,43.32,145.57,24.64,6.96
374,puerto baquerizo moreno,75,EC,1582990588,78,-0.9,-89.6,82.4,13.87
375,urumqi,93,CN,1582990588,80,43.8,87.6,30.2,2.24
376,pontianak,75,ID,1582990588,88,-0.03,109.33,80.6,5.82
377,lavrentiya,30,RU,1582990589,89,65.58,-171.0,-11.36,5.08
